,Restaurant/Bar,Address,Number
0,Waverly,"2005 San Elijo Ave, Cardiff, CA 92007",(760) 230-1682
1,Death By Tequila,"5965 Village Way e107, San Diego, CA 92130",(858) 369-0717
2,Craft House ,"12841 El Camino Real Suite 202, San Diego, CA 92130",(858) 925-7067
3,Shores Restaurant,"8110 Camino Del Oro, La Jolla, CA 92037",(858) 456-0600
4,Mermaids & Cowboys,"1251 Prospect St, La Jolla, CA 92037",(858) 999-0205
5,Common Theory,"4805 Convoy St, San Diego, CA 92111",(858) 384-7974
6,One Door North,"3422 30th St, San Diego, CA 92104",(619) 618-1285
7,Go Go Amigo,"2885 Perry Rd, San Diego, CA 92106",(619) 877-1888
8,Moniker General,"2860 Sims Rd, San Diego, CA 92106",(619) 255-8772
9,Fernside,"1946 Fern St, San Diego, CA 92102",(619) 255-9591
10,Queenstown Public House,"1557 Columbia St, San Diego, CA 92101",(619) 546-0444
11,Craft & Commerce,"675 W Beech St, San Diego, CA 92101",(619) 269-2202
12,Garibaldi,"901 Bayfront Ct Suite 1, San Diego, CA 92101",(619) 436-1081
13,Madam Bonnie’s,"411 Market St, San Diego, CA 92101",(619) 310-5436
